px	py	v	yaw_angle	yaw_rate	px_measured	py_measured	px_true	py_true	vx_true	vy_true	NIS
197.717	37.7345	2.20059	0.21802	0.0724643	197.725	37.7285	197.683	37.2395	1.81869	-0.159495	0.164444
197.671	37.7252	2.04885	0.217264	0.0739826	197.582	37.303	197.683	37.2395	1.81869	-0.159495	0.53652
199.306	37.3063	1.88267	-0.344834	-0.315664	199.294	37.2862	199.497	37.0353	1.71212	-0.235529	0.812595
199.317	37.3106	1.91133	-0.33301	-0.297825	199.356	37.3527	199.497	37.0353	1.71212	-0.235529	0.0358602
201.476	36.9978	2.36797	0.00846696	0.114594	201.549	36.9973	201.203	36.7587	1.6057	-0.300201	2.59165
201.347	36.9915	1.96565	-0.0887349	-0.0321314	200.932	37.4694	201.203	36.7587	1.6057	-0.300201	3.47188
202.964	36.4632	1.98628	-0.360182	-0.178138	202.962	36.4568	202.801	36.4212	1.50137	-0.353671	0.0897624
202.92	36.4433	1.819	-0.470813	-0.340788	202.65	37.2445	202.801	36.4212	1.50137	-0.353671	0.596456
204.029	36.1614	1.25784	-0.413421	-0.112797	203.991	36.1967	204.294	36.0343	1.40095	-0.396497	1.45288
204.038	36.1493	1.459	-0.304602	0.100171	203.809	36.2941	204.294	36.0343	1.40095	-0.396497	1.5511
